,G,Date,Start (ET),Venue,Opponent,Tm,Opp,W,L,Streak,W/L,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Season,Team
79,34,2024-01-03,7:00p,Away,Indiana Pacers,130,142,24,10,L 2,L,46,92,14,37,0.378,24,32,0.75,10,42,30,6,4,13,25,2024,Milwaukee Bucks
80,35,2024-01-04,7:30p,Away,San Antonio Spurs,125,121,25,10,W 1,W,49,92,12,34,0.353,15,19,0.789,8,42,27,5,5,14,16,2024,Milwaukee Bucks
81,36,2024-01-06,8:00p,Away,Houston Rockets,108,112,25,11,L 1,L,35,76,9,34,0.265,29,42,0.69,4,41,20,7,4,11,24,2024,Milwaukee Bucks
82,37,2024-01-08,8:00p,Home,Utah Jazz,116,132,25,12,L 2,L,42,94,17,36,0.472,15,19,0.789,11,38,31,6,6,9,20,2024,Milwaukee Bucks
83,38,2024-01-11,7:30p,Home,Boston Celtics,135,102,26,12,W 1,W,52,92,18,42,0.429,13,16,0.813,12,54,34,3,6,9,22,2024,Milwaukee Bucks
84,39,2024-01-13,8:00p,Home,Golden State Warriors,129,118,27,12,W 2,W,51,94,13,31,0.419,14,17,0.824,14,50,33,6,5,12,15,2024,Milwaukee Bucks
85,40,2024-01-14,7:00p,Home,Sacramento Kings,143,142,28,12,W 3,W,48,92,20,43,0.465,27,32,0.844,4,40,31,5,3,13,22,2024,Milwaukee Bucks
86,41,2024-01-17,7:30p,Away,Cleveland Cavaliers,95,135,28,13,L 1,L,38,95,12,42,0.286,7,10,0.7,9,36,19,6,6,10,18,2024,Milwaukee Bucks
87,42,2024-01-20,3:00p,Away,Detroit Pistons,141,135,29,13,W 1,W,47,85,12,32,0.375,35,49,0.714,8,49,30,6,6,10,18,2024,Milwaukee Bucks
88,43,2024-01-22,7:00p,Away,Detroit Pistons,122,113,30,13,W 2,W,42,94,10,39,0.256,28,34,0.824,10,49,26,7,8,9,22,2024,Milwaukee Bucks
89,44,2024-01-24,8:00p,Home,Cleveland Cavaliers,126,116,31,13,W 3,W,45,90,11,29,0.379,25,28,0.893,10,46,24,9,3,11,16,2024,Milwaukee Bucks
90,45,2024-01-26,8:00p,Home,Cleveland Cavaliers,100,112,31,14,L 1,L,35,87,13,34,0.382,17,24,0.708,12,51,21,6,4,18,24,2024,Milwaukee Bucks
91,46,2024-01-27,8:00p,Home,New Orleans Pelicans,141,117,32,14,W 1,W,51,91,20,45,0.444,19,25,0.76,6,45,30,12,0,9,25,2024,Milwaukee Bucks
92,1,2023-10-26,7:30p,Away,Milwaukee Bucks,117,118,0,1,L 1,L,41,80,16,35,0.457,19,28,0.679,4,39,25,8,4,15,28,2024,Philadelphia 76ers
93,2,2023-10-28,7:30p,Away,Toronto Raptors,114,107,1,1,W 1,W,43,86,10,28,0.357,18,21,0.857,9,42,25,8,7,9,18,2024,Philadelphia 76ers
94,3,2023-10-29,7:30p,Home,Portland Trail Blazers,126,98,2,1,W 2,W,40,82,11,28,0.393,35,40,0.875,11,51,28,10,17,15,20,2024,Philadelphia 76ers
95,4,2023-11-02,7:00p,Home,Toronto Raptors,114,99,3,1,W 3,W,42,92,9,25,0.36,21,25,0.84,15,46,21,12,3,14,19,2024,Philadelphia 76ers
96,5,2023-11-04,1:00p,Home,Phoenix Suns,112,100,4,1,W 4,W,43,90,11,30,0.367,15,18,0.833,15,51,24,5,6,17,24,2024,Philadelphia 76ers
97,6,2023-11-06,7:00p,Home,Washington Wizards,146,128,5,1,W 5,W,51,91,12,31,0.387,32,36,0.889,10,45,37,12,7,15,15,2024,Philadelphia 76ers
98,7,2023-11-08,7:00p,Home,Boston Celtics,106,103,6,1,W 6,W,42,95,9,34,0.265,13,15,0.867,12,56,20,7,7,12,16,2024,Philadelphia 76ers
99,8,2023-11-10,7:00p,Away,Detroit Pistons,114,106,7,1,W 7,W,35,83,9,28,0.321,35,41,0.854,11,46,23,13,5,8,23,2024,Philadelphia 76ers
100,9,2023-11-12,6:00p,Home,Indiana Pacers,137,126,8,1,W 8,W,53,105,14,33,0.424,17,20,0.85,23,54,28,5,7,11,15,2024,Philadelphia 76ers
101,10,2023-11-14,7:00p,Home,Indiana Pacers,126,132,8,2,L 1,L,43,86,6,22,0.273,34,35,0.971,5,38,22,5,3,16,26,2024,Philadelphia 76ers
102,11,2023-11-15,7:30p,Home,Boston Celtics,107,117,8,3,L 2,L,39,85,11,30,0.367,18,22,0.818,10,41,18,5,1,9,14,2024,Philadelphia 76ers
103,12,2023-11-17,7:30p,Away,Atlanta Hawks,126,116,9,3,W 1,W,43,88,13,30,0.433,27,28,0.964,13,43,32,9,4,15,20,2024,Philadelphia 76ers
104,13,2023-11-19,3:00p,Away,Brooklyn Nets,121,99,10,3,W 2,W,44,94,16,35,0.457,17,18,0.944,10,44,32,8,4,4,18,2024,Philadelphia 76ers
105,14,2023-11-21,7:30p,Home,Cleveland Cavaliers,119,122,10,4,L 1,L,40,96,11,35,0.314,28,34,0.824,14,44,19,12,8,14,25,2024,Philadelphia 76ers
106,15,2023-11-22,8:00p,Away,Minnesota Timberwolves,99,112,10,5,L 2,L,34,87,7,32,0.219,24,30,0.8,16,48,21,9,12,14,23,2024,Philadelphia 76ers
107,16,2023-11-25,5:00p,Away,Oklahoma City Thunder,127,123,11,5,W 1,W,38,83,14,41,0.341,37,45,0.822,17,49,30,2,9,12,26,2024,Philadelphia 76ers
108,17,2023-11-27,7:00p,Home,Los Angeles Lakers,138,94,12,5,W 2,W,47,93,22,46,0.478,22,26,0.846,15,48,33,11,2,5,17,2024,Philadelphia 76ers
109,18,2023-11-29,8:00p,Away,New Orleans Pelicans,114,124,12,6,L 1,L,42,81,14,34,0.412,16,18,0.889,8,30,28,8,7,21,26,2024,Philadelphia 76ers
110,19,2023-12-01,7:30p,Away,Boston Celtics,119,125,12,7,L 2,L,43,94,16,35,0.457,17,23,0.739,15,42,16,16,5,16,24,2024,Philadelphia 76ers
111,20,2023-12-06,7:00p,Away,Washington Wizards,131,126,13,7,W 1,W,47,92,8,27,0.296,29,34,0.853,11,43,29,7,2,11,14,2024,Philadelphia 76ers
112,21,2023-12-08,7:00p,Home,Atlanta Hawks,125,114,14,7,W 2,W,42,87,11,30,0.367,30,37,0.811,14,48,24,6,8,10,14,2024,Philadelphia 76ers
113,22,2023-12-11,7:00p,Home,Washington Wizards,146,101,15,7,W 3,W,52,95,20,46,0.435,22,25,0.88,9,47,37,14,6,13,27,2024,Philadelphia 76ers
114,23,2023-12-13,7:00p,Away,Detroit Pistons,129,111,16,7,W 4,W,45,87,11,30,0.367,28,34,0.824,10,53,28,6,4,10,20,2024,Philadelphia 76ers
115,24,2023-12-15,7:00p,Home,Detroit Pistons,124,92,17,7,W 5,W,41,98,14,37,0.378,28,31,0.903,16,54,24,17,8,11,23,2024,Philadelphia 76ers
116,25,2023-12-16,7:00p,Away,Charlotte Hornets,135,82,18,7,W 6,W,53,88,14,31,0.452,15,17,0.882,5,45,30,10,6,10,17,2024,Philadelphia 76ers
117,26,2023-12-18,7:00p,Home,Chicago Bulls,104,108,18,8,L 1,L,38,88,11,32,0.344,17,19,0.895,9,44,23,8,8,12,17,2024,Philadelphia 76ers
118,27,2023-12-20,7:00p,Home,Minnesota Timberwolves,127,113,19,8,W 1,W,45,84,8,22,0.364,29,32,0.906,7,36,20,9,3,12,25,2024,Philadelphia 76ers
119,28,2023-12-22,7:00p,Home,Toronto Raptors,121,111,20,8,W 2,W,44,83,14,31,0.452,19,21,0.905,3,38,34,6,6,13,21,2024,Philadelphia 76ers
120,29,2023-12-25,8:00p,Away,Miami Heat,113,119,20,9,L 1,L,40,94,17,45,0.378,16,25,0.64,5,36,23,11,4,7,22,2024,Philadelphia 76ers
121,30,2023-12-27,7:00p,Away,Orlando Magic,112,92,21,9,W 1,W,45,96,10,28,0.357,12,17,0.706,12,48,14,10,8,10,19,2024,Philadelphia 76ers
122,31,2023-12-29,8:00p,Away,Houston Rockets,131,127,22,9,W 2,W,45,86,12,33,0.364,29,33,0.879,11,30,22,10,5,10,21,2024,Philadelphia 76ers
123,32,2023-12-30,8:00p,Away,Chicago Bulls,92,105,22,10,L 1,L,36,92,9,38,0.237,11,15,0.733,12,36,24,12,5,7,22,2024,Philadelphia 76ers
124,33,2024-01-02,7:00p,Home,Chicago Bulls,110,97,23,10,W 1,W,38,80,12,30,0.4,22,30,0.733,6,43,28,9,6,17,22,2024,Philadelphia 76ers
125,34,2024-01-05,7:30p,Home,New York Knicks,92,128,23,11,L 1,L,33,81,6,23,0.261,20,27,0.741,8,38,22,8,9,14,18,2024,Philadelphia 76ers
126,35,2024-01-06,7:30p,Home,Utah Jazz,109,120,23,12,L 2,L,42,104,7,38,0.184,18,23,0.783,15,34,30,12,6,6,20,2024,Philadelphia 76ers
127,36,2024-01-10,7:30p,Away,Atlanta Hawks,132,139,23,13,L 3,L,46,102,12,34,0.353,28,33,0.848,13,51,26,8,9,11,28,2024,Philadelphia 76ers
128,37,2024-01-12,7:30p,Home,Sacramento Kings,112,93,24,13,W 1,W,40,93,15,35,0.429,17,18,0.944,14,46,23,11,9,13,19,2024,Philadelphia 76ers
129,38,2024-01-15,1:00p,Home,Houston Rockets,124,115,25,13,W 2,W,40,83,15,31,0.484,29,34,0.853,8,41,25,8,4,10,24,2024,Philadelphia 76ers
130,39,2024-01-16,7:30p,Home,Denver Nuggets,126,121,26,13,W 3,W,43,76,15,31,0.484,25,34,0.735,5,32,27,6,7,8,21,2024,Philadelphia 76ers
131,40,2024-01-19,7:00p,Away,Orlando Magic,124,109,27,13,W 4,W,42,87,13,30,0.433,27,29,0.931,16,42,23,11,5,7,23,2024,Philadelphia 76ers
132,41,2024-01-20,7:00p,Away,Charlotte Hornets,97,89,28,13,W 5,W,36,85,5,25,0.2,20,24,0.833,6,46,21,7,6,10,12,2024,Philadelphia 76ers
133,42,2024-01-22,7:00p,Home,San Antonio Spurs,133,123,29,13,W 6,W,48,97,5,20,0.25,32,40,0.8,19,48,28,5,3,4,20,2024,Philadelphia 76ers
134,43,2024-01-25,7:00p,Away,Indiana Pacers,122,134,29,14,L 1,L,42,87,7,29,0.241,31,43,0.721,6,31,24,13,6,12,20,2024,Philadelphia 76ers
135,44,2024-01-27,5:30p,Away,Denver Nuggets,105,111,29,15,L 2,L,43,81,6,22,0.273,13,16,0.813,6,39,25,5,6,11,29,2024,Philadelphia 76ers
136,1,2023-10-25,7:00p,Home,Boston Celtics,104,108,0,1,L 1,L,36,97,18,41,0.439,14,26,0.538,17,47,24,9,0,9,22,2024,New York Knicks
137,2,2023-10-27,7:30p,Away,Atlanta Hawks,126,120,1,1,W 1,W,43,90,20,44,0.455,20,28,0.714,12,45,30,9,6,16,21,2024,New York Knicks
138,3,2023-10-28,7:00p,Away,New Orleans Pelicans,87,96,1,2,L 1,L,33,90,7,37,0.189,14,18,0.778,16,59,19,7,3,18,17,2024,New York Knicks
139,4,2023-10-31,7:30p,Away,Cleveland Cavaliers,109,91,2,2,W 1,W,38,86,13,34,0.382,20,25,0.8,12,48,18,9,1,14,17,2024,New York Knicks
140,5,2023-11-01,7:30p,Home,Cleveland Cavaliers,89,95,2,3,L 1,L,32,92,5,30,0.167,20,30,0.667,16,50,18,10,3,13,16,2024,New York Knicks
141,6,2023-11-03,7:30p,Away,Milwaukee Bucks,105,110,2,4,L 2,L,38,96,10,39,0.256,19,25,0.76,16,56,18,6,1,10,22,2024,New York Knicks
142,7,2023-11-06,7:30p,Home,Los Angeles Clippers,111,97,3,4,W 1,W,41,88,12,31,0.387,17,18,0.944,18,48,28,13,1,19,13,2024,New York Knicks
143,8,2023-11-08,7:30p,Home,San Antonio Spurs,126,105,4,4,W 2,W,46,100,19,42,0.452,15,22,0.682,13,47,28,7,0,3,14,2024,New York Knicks
144,9,2023-11-12,12:00p,Home,Charlotte Hornets,129,107,5,4,W 3,W,47,87,15,36,0.417,20,30,0.667,10,40,25,8,4,9,18,2024,New York Knicks
145,10,2023-11-13,7:30p,Away,Boston Celtics,98,114,5,5,L 1,L,33,79,15,35,0.429,17,24,0.708,12,37,17,5,2,8,16,2024,New York Knicks
146,11,2023-11-15,7:30p,Away,Atlanta Hawks,116,114,6,5,W 1,W,45,94,16,34,0.471,10,11,0.909,14,42,29,9,2,16,20,2024,New York Knicks
147,12,2023-11-17,7:00p,Away,Washington Wizards,120,99,7,5,W 2,W,45,91,16,38,0.421,14,20,0.7,14,48,26,5,6,10,21,2024,New York Knicks
148,13,2023-11-18,6:00p,Away,Charlotte Hornets,122,108,8,5,W 3,W,46,91,16,37,0.432,14,19,0.737,13,47,27,7,4,12,13,2024,New York Knicks
149,14,2023-11-20,8:00p,Away,Minnesota Timberwolves,100,117,8,6,L 1,L,32,92,9,38,0.237,27,34,0.794,17,50,16,8,3,10,23,2024,New York Knicks
150,15,2023-11-24,7:30p,Home,Miami Heat,100,98,9,6,W 1,W,39,81,10,29,0.345,12,18,0.667,6,46,21,7,2,18,14,2024,New York Knicks
