,G,Date,Start (ET),Venue,Opponent,Tm,Opp,W,L,Streak,W/L,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Season,Team
151,16,2023-11-26,6:00p,Home,Phoenix Suns,113,116,9,7,L 1,L,39,86,12,29,0.414,23,32,0.719,13,38,18,7,5,6,19,2024,New York Knicks
152,17,2023-11-28,7:30p,Home,Charlotte Hornets,115,91,10,7,W 1,W,41,88,15,38,0.395,18,20,0.9,15,54,21,10,7,16,12,2024,New York Knicks
153,18,2023-11-30,7:30p,Home,Detroit Pistons,118,112,11,7,W 2,W,41,88,16,41,0.39,20,28,0.714,12,41,25,8,3,11,17,2024,New York Knicks
154,19,2023-12-01,7:30p,Away,Toronto Raptors,119,106,12,7,W 3,W,45,90,16,36,0.444,13,16,0.813,11,43,30,6,3,12,15,2024,New York Knicks
155,20,2023-12-05,7:30p,Away,Milwaukee Bucks,122,146,12,8,L 1,L,43,87,7,23,0.304,29,33,0.879,12,36,27,8,4,16,17,2024,New York Knicks
156,21,2023-12-08,7:30p,Away,Boston Celtics,123,133,12,9,L 2,L,44,88,15,37,0.405,20,27,0.741,12,44,28,4,3,13,20,2024,New York Knicks
157,22,2023-12-11,7:30p,Home,Toronto Raptors,136,130,13,9,W 1,W,52,86,17,29,0.586,15,23,0.652,14,42,36,5,3,15,22,2024,New York Knicks
158,23,2023-12-13,9:00p,Away,Utah Jazz,113,117,13,10,L 1,L,41,94,9,39,0.231,22,32,0.688,14,46,21,10,4,8,21,2024,New York Knicks
159,24,2023-12-15,10:00p,Away,Phoenix Suns,139,122,14,10,W 1,W,49,82,17,29,0.586,24,28,0.857,9,38,28,9,5,11,20,2024,New York Knicks
160,25,2023-12-16,10:30p,Away,Los Angeles Clippers,122,144,14,11,L 1,L,44,94,11,35,0.314,23,26,0.885,12,39,20,7,4,10,22,2024,New York Knicks
161,26,2023-12-18,10:30p,Away,Los Angeles Lakers,114,109,15,11,W 1,W,42,88,10,30,0.333,20,23,0.87,11,52,21,5,6,15,16,2024,New York Knicks
162,27,2023-12-20,7:30p,Away,Brooklyn Nets,121,102,16,11,W 2,W,44,95,13,33,0.394,20,25,0.8,12,54,24,8,7,11,15,2024,New York Knicks
163,28,2023-12-23,12:30p,Home,Milwaukee Bucks,111,130,16,12,L 1,L,41,93,9,29,0.31,20,21,0.952,11,41,17,5,2,11,22,2024,New York Knicks
164,29,2023-12-25,12:00p,Home,Milwaukee Bucks,129,122,17,12,W 1,W,50,92,8,26,0.308,21,26,0.808,7,41,27,7,4,11,18,2024,New York Knicks
165,30,2023-12-27,8:00p,Away,Oklahoma City Thunder,120,129,17,13,L 1,L,41,82,14,34,0.412,24,30,0.8,9,40,24,2,2,18,21,2024,New York Knicks
166,31,2023-12-29,7:00p,Away,Orlando Magic,108,117,17,14,L 2,L,38,86,6,30,0.2,26,29,0.897,6,40,22,8,4,16,30,2024,New York Knicks
167,32,2023-12-30,7:00p,Away,Indiana Pacers,126,140,17,15,L 3,L,45,95,17,37,0.459,19,27,0.704,15,42,24,12,2,13,19,2024,New York Knicks
168,33,2024-01-01,3:00p,Home,Minnesota Timberwolves,112,106,18,15,W 1,W,39,89,12,34,0.353,22,28,0.786,16,49,23,7,4,13,24,2024,New York Knicks
169,34,2024-01-03,8:30p,Home,Chicago Bulls,116,100,19,15,W 2,W,46,89,15,38,0.395,9,11,0.818,13,52,29,6,7,15,17,2024,New York Knicks
170,35,2024-01-05,7:30p,Away,Philadelphia 76ers,128,92,20,15,W 3,W,43,89,18,41,0.439,24,25,0.96,10,49,27,7,7,11,22,2024,New York Knicks
171,36,2024-01-06,7:00p,Away,Washington Wizards,121,105,21,15,W 4,W,43,87,14,36,0.389,21,24,0.875,11,45,27,9,2,14,16,2024,New York Knicks
172,37,2024-01-09,7:30p,Home,Portland Trail Blazers,112,84,22,15,W 5,W,37,89,18,48,0.375,20,23,0.87,15,55,26,11,4,14,16,2024,New York Knicks
173,38,2024-01-11,8:30p,Away,Dallas Mavericks,124,128,22,16,L 1,L,44,89,14,42,0.333,22,28,0.786,13,45,27,7,2,14,25,2024,New York Knicks
174,39,2024-01-13,8:00p,Away,Memphis Grizzlies,106,94,23,16,W 1,W,40,83,13,38,0.342,13,19,0.684,15,56,25,11,11,22,15,2024,New York Knicks
175,40,2024-01-15,3:00p,Home,Orlando Magic,94,98,23,17,L 1,L,33,83,13,40,0.325,15,22,0.682,13,41,20,3,3,9,20,2024,New York Knicks
176,41,2024-01-17,7:30p,Home,Houston Rockets,109,94,24,17,W 1,W,39,87,13,37,0.351,18,22,0.818,12,51,24,6,5,12,20,2024,New York Knicks
177,42,2024-01-18,7:30p,Home,Washington Wizards,113,109,25,17,W 2,W,39,86,13,38,0.342,22,26,0.846,7,47,22,6,5,17,18,2024,New York Knicks
178,43,2024-01-20,7:30p,Home,Toronto Raptors,126,100,26,17,W 3,W,48,88,14,39,0.359,16,20,0.8,15,61,27,4,7,21,20,2024,New York Knicks
179,44,2024-01-23,7:30p,Away,Brooklyn Nets,108,103,27,17,W 4,W,40,86,10,29,0.345,18,19,0.947,11,42,21,8,8,13,13,2024,New York Knicks
180,45,2024-01-25,7:30p,Home,Denver Nuggets,122,84,28,17,W 5,W,45,85,15,38,0.395,17,20,0.85,12,44,26,12,3,8,14,2024,New York Knicks
181,46,2024-01-27,3:00p,Home,Miami Heat,125,109,29,17,W 6,W,45,87,17,33,0.515,18,26,0.692,11,46,25,6,3,7,15,2024,New York Knicks
182,1,2023-10-25,7:30p,Away,Brooklyn Nets,114,113,1,0,W 1,W,44,94,17,43,0.395,9,10,0.9,9,38,25,10,6,10,23,2024,Cleveland Cavaliers
183,2,2023-10-27,7:30p,Home,Oklahoma City Thunder,105,108,1,1,L 1,L,38,92,12,45,0.267,17,23,0.739,8,48,20,10,8,13,16,2024,Cleveland Cavaliers
184,3,2023-10-28,7:30p,Home,Indiana Pacers,113,125,1,2,L 2,L,43,99,12,31,0.387,15,24,0.625,18,51,29,2,6,6,16,2024,Cleveland Cavaliers
185,4,2023-10-31,7:30p,Home,New York Knicks,91,109,1,3,L 3,L,36,92,10,38,0.263,9,12,0.75,14,46,19,6,6,15,19,2024,Cleveland Cavaliers
186,5,2023-11-01,7:30p,Away,New York Knicks,95,89,2,3,W 1,W,32,74,12,32,0.375,19,20,0.95,6,46,22,7,5,18,27,2024,Cleveland Cavaliers
187,6,2023-11-03,7:00p,Away,Indiana Pacers,116,121,2,4,L 1,L,44,84,8,28,0.286,20,25,0.8,5,35,27,10,9,13,20,2024,Cleveland Cavaliers
188,7,2023-11-05,6:00p,Home,Golden State Warriors,115,104,3,4,W 1,W,41,83,11,37,0.297,22,28,0.786,13,54,26,8,2,18,21,2024,Cleveland Cavaliers
189,8,2023-11-08,8:00p,Away,Oklahoma City Thunder,120,128,3,5,L 1,L,42,83,9,29,0.31,27,37,0.73,11,41,26,9,5,18,24,2024,Cleveland Cavaliers
190,9,2023-11-11,8:30p,Away,Golden State Warriors,118,110,4,5,W 1,W,37,86,11,30,0.367,33,43,0.767,11,45,23,13,3,10,24,2024,Cleveland Cavaliers
191,10,2023-11-13,10:00p,Away,Sacramento Kings,120,132,4,6,L 1,L,45,91,16,35,0.457,14,17,0.824,14,39,24,3,1,11,18,2024,Cleveland Cavaliers
192,11,2023-11-15,10:00p,Away,Portland Trail Blazers,109,95,5,6,W 1,W,42,75,9,30,0.3,16,21,0.762,7,47,23,5,9,17,16,2024,Cleveland Cavaliers
193,12,2023-11-17,7:30p,Home,Detroit Pistons,108,100,6,6,W 2,W,42,82,9,21,0.429,15,21,0.714,7,39,21,9,6,12,9,2024,Cleveland Cavaliers
194,13,2023-11-19,6:00p,Home,Denver Nuggets,121,109,7,6,W 3,W,45,82,11,27,0.407,20,26,0.769,11,47,30,6,5,13,18,2024,Cleveland Cavaliers
195,14,2023-11-21,7:30p,Away,Philadelphia 76ers,122,119,8,6,W 4,W,46,94,9,25,0.36,21,25,0.84,14,56,33,9,4,15,21,2024,Cleveland Cavaliers
196,15,2023-11-22,7:30p,Home,Miami Heat,96,129,8,7,L 1,L,36,77,14,30,0.467,10,14,0.714,7,34,25,5,6,19,17,2024,Cleveland Cavaliers
197,16,2023-11-25,7:30p,Home,Los Angeles Lakers,115,121,8,8,L 2,L,43,91,9,28,0.321,20,23,0.87,7,37,30,13,4,14,16,2024,Cleveland Cavaliers
198,17,2023-11-26,7:30p,Home,Toronto Raptors,105,102,9,8,W 1,W,45,97,10,31,0.323,5,6,0.833,12,49,29,2,5,14,18,2024,Cleveland Cavaliers
199,18,2023-11-28,7:30p,Home,Atlanta Hawks,128,105,10,8,W 2,W,50,93,13,36,0.361,15,17,0.882,12,55,27,8,12,16,20,2024,Cleveland Cavaliers
200,19,2023-11-30,7:00p,Home,Portland Trail Blazers,95,103,10,9,L 1,L,38,89,7,32,0.219,12,12,1,14,35,25,12,2,17,15,2024,Cleveland Cavaliers
201,20,2023-12-02,7:00p,Away,Detroit Pistons,110,101,11,9,W 1,W,44,89,10,30,0.333,12,18,0.667,8,43,25,11,1,11,18,2024,Cleveland Cavaliers
202,21,2023-12-06,7:00p,Home,Orlando Magic,121,111,12,9,W 2,W,46,86,14,34,0.412,15,20,0.75,10,45,29,5,2,15,27,2024,Cleveland Cavaliers
203,22,2023-12-08,8:00p,Away,Miami Heat,111,99,13,9,W 3,W,40,87,14,38,0.368,17,26,0.654,12,51,21,13,2,13,17,2024,Cleveland Cavaliers
204,23,2023-12-11,7:00p,Away,Orlando Magic,94,104,13,10,L 1,L,30,85,9,40,0.225,25,33,0.758,18,48,15,10,3,14,23,2024,Cleveland Cavaliers
205,24,2023-12-12,7:30p,Away,Boston Celtics,113,120,13,11,L 2,L,44,92,19,45,0.422,6,9,0.667,6,35,27,6,4,12,18,2024,Cleveland Cavaliers
206,25,2023-12-14,7:30p,Away,Boston Celtics,107,116,13,12,L 3,L,40,83,11,33,0.333,16,17,0.941,9,39,21,7,1,16,18,2024,Cleveland Cavaliers
207,26,2023-12-16,7:30p,Home,Atlanta Hawks,127,119,14,12,W 1,W,49,101,16,42,0.381,13,15,0.867,18,49,32,8,3,10,22,2024,Cleveland Cavaliers
208,27,2023-12-18,7:00p,Home,Houston Rockets,135,130,15,12,W 2,W,47,97,19,48,0.396,22,34,0.647,14,38,29,7,8,11,25,2024,Cleveland Cavaliers
209,28,2023-12-20,7:00p,Home,Utah Jazz,124,116,16,12,W 3,W,45,96,23,51,0.451,11,16,0.688,14,44,34,8,3,11,23,2024,Cleveland Cavaliers
210,29,2023-12-21,7:30p,Home,New Orleans Pelicans,104,123,16,13,L 1,L,41,87,17,44,0.386,5,8,0.625,6,35,34,4,3,11,13,2024,Cleveland Cavaliers
211,30,2023-12-23,8:00p,Away,Chicago Bulls,109,95,17,13,W 1,W,39,88,12,45,0.267,19,26,0.731,15,48,28,7,4,12,16,2024,Cleveland Cavaliers
212,31,2023-12-27,8:30p,Away,Dallas Mavericks,113,110,18,13,W 2,W,40,92,17,43,0.395,16,23,0.696,18,57,33,7,4,16,21,2024,Cleveland Cavaliers
213,32,2023-12-29,7:30p,Home,Milwaukee Bucks,111,119,18,14,L 1,L,49,103,6,43,0.14,7,9,0.778,7,37,28,11,7,8,20,2024,Cleveland Cavaliers
214,33,2024-01-01,7:30p,Away,Toronto Raptors,121,124,18,15,L 2,L,43,89,12,36,0.333,23,26,0.885,6,43,25,9,2,9,29,2024,Cleveland Cavaliers
215,34,2024-01-03,7:00p,Home,Washington Wizards,140,101,19,15,W 1,W,54,101,20,42,0.476,12,16,0.75,18,62,37,5,8,8,13,2024,Cleveland Cavaliers
216,35,2024-01-05,7:30p,Home,Washington Wizards,114,90,20,15,W 2,W,41,77,16,33,0.485,16,23,0.696,12,52,31,9,1,23,19,2024,Cleveland Cavaliers
217,36,2024-01-07,1:00p,Home,San Antonio Spurs,117,115,21,15,W 3,W,43,88,16,43,0.372,15,21,0.714,12,44,27,6,3,16,16,2024,Cleveland Cavaliers
218,37,2024-01-11,2:00p,Home,Brooklyn Nets,111,102,22,15,W 4,W,32,82,13,44,0.295,34,43,0.791,12,47,16,11,6,11,24,2024,Cleveland Cavaliers
219,38,2024-01-15,7:00p,Home,Chicago Bulls,109,91,23,15,W 5,W,39,95,20,57,0.351,11,11,1,13,48,28,9,3,11,14,2024,Cleveland Cavaliers
220,39,2024-01-17,7:30p,Home,Milwaukee Bucks,135,95,24,15,W 6,W,55,93,12,28,0.429,13,19,0.684,11,55,36,5,3,10,9,2024,Cleveland Cavaliers
221,40,2024-01-20,7:30p,Away,Atlanta Hawks,116,95,25,15,W 7,W,43,85,16,43,0.372,14,16,0.875,4,49,32,7,6,13,16,2024,Cleveland Cavaliers
222,41,2024-01-22,7:00p,Away,Orlando Magic,126,99,26,15,W 8,W,45,80,20,38,0.526,16,22,0.727,9,39,29,10,4,9,20,2024,Cleveland Cavaliers
223,42,2024-01-24,8:00p,Away,Milwaukee Bucks,116,126,26,16,L 1,L,46,91,13,38,0.342,11,15,0.733,6,39,26,5,2,12,18,2024,Cleveland Cavaliers
224,43,2024-01-26,8:00p,Away,Milwaukee Bucks,112,100,27,16,W 1,W,38,92,14,36,0.389,22,31,0.71,15,51,20,7,8,13,22,2024,Cleveland Cavaliers
225,1,2023-10-25,7:00p,Home,Washington Wizards,143,120,1,0,W 1,W,56,107,20,43,0.465,11,12,0.917,10,51,38,10,8,12,23,2024,Indiana Pacers
226,2,2023-10-28,7:30p,Away,Cleveland Cavaliers,125,113,2,0,W 2,W,48,98,15,38,0.395,14,17,0.824,11,48,36,3,4,7,20,2024,Indiana Pacers
227,3,2023-10-30,7:00p,Home,Chicago Bulls,105,112,2,1,L 1,L,36,88,12,46,0.261,21,25,0.84,11,47,26,7,5,17,24,2024,Indiana Pacers
228,4,2023-11-01,7:30p,Away,Boston Celtics,104,155,2,2,L 2,L,46,101,5,37,0.135,7,12,0.583,8,31,26,6,6,9,20,2024,Indiana Pacers
229,5,2023-11-03,7:00p,Home,Cleveland Cavaliers,121,116,3,2,W 1,W,45,86,15,31,0.484,16,24,0.667,7,40,28,7,5,18,18,2024,Indiana Pacers
230,6,2023-11-04,7:00p,Home,Charlotte Hornets,124,125,3,3,L 1,L,45,93,22,45,0.489,12,16,0.75,11,36,31,7,5,14,18,2024,Indiana Pacers
231,7,2023-11-06,7:00p,Home,San Antonio Spurs,152,111,4,3,W 1,W,55,95,20,38,0.526,22,23,0.957,9,49,38,7,4,14,24,2024,Indiana Pacers
232,8,2023-11-08,7:00p,Home,Utah Jazz,134,118,5,3,W 2,W,52,101,13,41,0.317,17,20,0.85,14,46,26,14,7,11,15,2024,Indiana Pacers
233,9,2023-11-09,7:00p,Home,Milwaukee Bucks,126,124,6,3,W 3,W,44,92,20,48,0.417,18,20,0.9,9,40,27,6,6,11,25,2024,Indiana Pacers
234,10,2023-11-12,6:00p,Away,Philadelphia 76ers,126,137,6,4,L 1,L,47,90,16,39,0.41,16,19,0.842,8,32,31,8,9,10,14,2024,Indiana Pacers
235,11,2023-11-14,7:00p,Away,Philadelphia 76ers,132,126,7,4,W 1,W,48,93,13,37,0.351,23,33,0.697,10,41,32,7,5,11,28,2024,Indiana Pacers
236,12,2023-11-19,5:00p,Home,Orlando Magic,116,128,7,5,L 1,L,42,95,8,31,0.258,24,31,0.774,11,40,24,10,7,16,32,2024,Indiana Pacers
237,13,2023-11-21,7:30p,Away,Atlanta Hawks,157,152,8,5,W 1,W,57,94,22,45,0.489,21,28,0.75,7,29,35,7,11,13,25,2024,Indiana Pacers
238,14,2023-11-22,7:30p,Home,Toronto Raptors,131,132,8,6,L 1,L,50,91,18,39,0.462,13,16,0.813,5,31,33,10,6,14,24,2024,Indiana Pacers
239,15,2023-11-24,8:00p,Home,Detroit Pistons,136,113,9,6,W 1,W,49,102,16,38,0.421,22,24,0.917,15,40,24,7,8,8,21,2024,Indiana Pacers
240,16,2023-11-27,7:00p,Home,Portland Trail Blazers,110,114,9,7,L 1,L,42,88,8,33,0.242,18,24,0.75,10,42,26,10,6,20,24,2024,Indiana Pacers
241,17,2023-11-30,7:30p,Away,Miami Heat,132,142,9,8,L 2,L,50,98,11,43,0.256,21,32,0.656,10,34,30,11,5,9,31,2024,Indiana Pacers
242,18,2023-12-02,8:00p,Away,Miami Heat,144,129,10,8,W 1,W,56,85,16,32,0.5,16,20,0.8,3,32,35,4,8,9,24,2024,Indiana Pacers
243,19,2023-12-04,7:30p,Home,Boston Celtics,122,112,11,8,W 2,W,43,94,19,40,0.475,17,21,0.81,7,41,28,8,4,6,15,2024,Indiana Pacers
244,20,2023-12-07,5:00p,Away,Milwaukee Bucks,128,119,12,8,W 3,W,50,102,7,33,0.212,21,25,0.84,15,51,30,9,8,9,21,2024,Indiana Pacers
245,21,2023-12-11,7:00p,Away,Detroit Pistons,131,123,13,8,W 4,W,52,92,13,31,0.419,14,19,0.737,11,43,33,8,5,18,20,2024,Indiana Pacers
246,22,2023-12-13,8:00p,Away,Milwaukee Bucks,126,140,13,9,L 1,L,45,100,11,36,0.306,25,32,0.781,16,45,30,7,6,18,32,2024,Indiana Pacers
247,23,2023-12-15,7:00p,Away,Washington Wizards,123,137,13,10,L 2,L,48,107,15,40,0.375,12,16,0.75,13,41,35,7,8,15,25,2024,Indiana Pacers
248,24,2023-12-16,8:00p,Away,Minnesota Timberwolves,109,127,13,11,L 3,L,45,90,6,21,0.286,13,16,0.813,13,40,25,10,6,13,15,2024,Indiana Pacers
249,25,2023-12-18,7:00p,Home,Los Angeles Clippers,127,151,13,12,L 4,L,49,95,12,33,0.364,17,21,0.81,11,34,38,6,7,11,21,2024,Indiana Pacers
250,26,2023-12-20,7:00p,Home,Charlotte Hornets,144,113,14,12,W 1,W,49,80,18,39,0.462,28,30,0.933,8,38,37,6,8,13,20,2024,Indiana Pacers
251,27,2023-12-21,8:00p,Away,Memphis Grizzlies,103,116,14,13,L 1,L,38,90,18,52,0.346,9,11,0.818,12,39,28,12,9,16,21,2024,Indiana Pacers
252,28,2023-12-23,7:00p,Home,Orlando Magic,110,117,14,14,L 2,L,43,82,15,34,0.441,9,13,0.692,7,33,27,7,6,15,30,2024,Indiana Pacers
253,29,2023-12-26,8:00p,Away,Houston Rockets,123,117,15,14,W 1,W,43,82,19,43,0.442,18,21,0.857,10,45,28,5,7,20,22,2024,Indiana Pacers
254,30,2023-12-28,8:00p,Away,Chicago Bulls,120,104,16,14,W 2,W,43,85,19,42,0.452,15,22,0.682,6,47,30,6,9,13,21,2024,Indiana Pacers
255,31,2023-12-30,7:00p,Home,New York Knicks,140,126,17,14,W 3,W,50,85,23,43,0.535,17,21,0.81,7,34,40,6,7,16,18,2024,Indiana Pacers
256,32,2024-01-01,8:00p,Away,Milwaukee Bucks,122,113,18,14,W 4,W,43,97,5,35,0.143,31,38,0.816,14,52,23,7,5,7,24,2024,Indiana Pacers
257,33,2024-01-03,7:00p,Home,Milwaukee Bucks,142,130,19,14,W 5,W,50,90,14,35,0.4,28,34,0.824,7,44,34,7,5,10,27,2024,Indiana Pacers
258,34,2024-01-05,7:00p,Home,Atlanta Hawks,150,116,20,14,W 6,W,60,94,19,39,0.487,11,13,0.846,8,39,50,12,3,14,24,2024,Indiana Pacers
259,35,2024-01-06,7:00p,Home,Boston Celtics,101,118,20,15,L 1,L,38,92,8,42,0.19,17,22,0.773,10,38,23,12,2,9,18,2024,Indiana Pacers
260,36,2024-01-08,7:00p,Home,Boston Celtics,133,131,21,15,W 1,W,48,91,19,40,0.475,18,22,0.818,9,39,29,6,7,13,23,2024,Indiana Pacers
261,37,2024-01-10,7:00p,Home,Washington Wizards,112,104,22,15,W 2,W,41,92,8,25,0.32,22,24,0.917,14,54,31,7,6,13,22,2024,Indiana Pacers
262,38,2024-01-12,7:30p,Away,Atlanta Hawks,126,108,23,15,W 3,W,53,79,11,18,0.611,9,12,0.75,10,45,41,12,9,25,21,2024,Indiana Pacers
263,39,2024-01-14,3:30p,Away,Denver Nuggets,109,117,23,16,L 1,L,43,92,8,29,0.276,15,22,0.682,14,37,28,11,1,13,21,2024,Indiana Pacers
264,40,2024-01-15,9:00p,Away,Utah Jazz,105,132,23,17,L 2,L,38,95,9,31,0.29,20,25,0.8,18,43,27,9,4,13,31,2024,Indiana Pacers
265,41,2024-01-18,10:00p,Away,Sacramento Kings,126,121,24,17,W 1,W,49,89,13,33,0.394,15,19,0.789,4,34,33,5,6,11,20,2024,Indiana Pacers
266,42,2024-01-19,10:00p,Away,Portland Trail Blazers,115,118,24,18,L 1,L,39,91,20,47,0.426,17,25,0.68,6,37,34,3,6,13,26,2024,Indiana Pacers
267,43,2024-01-21,8:00p,Away,Phoenix Suns,110,117,24,19,L 2,L,41,94,14,31,0.452,14,23,0.609,14,40,28,9,4,11,20,2024,Indiana Pacers
268,44,2024-01-23,7:00p,Home,Denver Nuggets,109,114,24,20,L 3,L,43,87,5,21,0.238,18,21,0.857,7,38,24,4,1,10,16,2024,Indiana Pacers
269,45,2024-01-25,7:00p,Home,Philadelphia 76ers,134,122,25,20,W 1,W,53,93,12,28,0.429,16,21,0.762,12,55,35,6,8,21,33,2024,Indiana Pacers
270,46,2024-01-26,7:00p,Home,Phoenix Suns,133,131,26,20,W 2,W,58,109,8,26,0.308,9,15,0.6,21,48,34,8,3,12,17,2024,Indiana Pacers
271,47,2024-01-28,3:30p,Home,Memphis Grizzlies,116,110,27,20,W 3,W,44,90,13,35,0.371,15,16,0.938,11,44,31,8,6,10,26,2024,Indiana Pacers
272,1,2023-10-25,7:30p,Home,Detroit Pistons,103,102,1,0,W 1,W,37,92,8,22,0.364,21,26,0.808,16,48,22,11,3,7,18,2024,Miami Heat
273,2,2023-10-27,7:30p,Away,Boston Celtics,111,119,1,1,L 1,L,38,89,16,33,0.485,19,23,0.826,11,45,24,8,6,12,16,2024,Miami Heat
274,3,2023-10-28,8:00p,Away,Minnesota Timberwolves,90,106,1,2,L 2,L,35,87,12,38,0.316,8,14,0.571,9,42,24,6,1,14,12,2024,Miami Heat
275,4,2023-10-30,8:00p,Away,Milwaukee Bucks,114,122,1,3,L 3,L,41,86,13,34,0.382,19,20,0.95,7,40,27,7,2,14,20,2024,Miami Heat
276,5,2023-11-01,7:30p,Home,Brooklyn Nets,105,109,1,4,L 4,L,39,91,13,38,0.342,14,18,0.778,11,46,22,10,5,16,20,2024,Miami Heat
277,6,2023-11-03,8:00p,Home,Washington Wizards,121,114,2,4,W 1,W,48,80,13,27,0.481,12,14,0.857,7,37,35,9,1,19,18,2024,Miami Heat
278,7,2023-11-06,7:30p,Home,Los Angeles Lakers,108,107,3,4,W 2,W,41,88,12,37,0.324,14,16,0.875,11,44,30,11,4,17,14,2024,Miami Heat
279,8,2023-11-08,8:00p,Away,Memphis Grizzlies,108,102,4,4,W 3,W,35,77,11,28,0.393,27,32,0.844,9,44,22,9,8,19,24,2024,Miami Heat
280,9,2023-11-11,7:30p,Away,Atlanta Hawks,117,109,5,4,W 4,W,41,84,12,38,0.316,23,25,0.92,7,39,23,10,4,15,14,2024,Miami Heat
281,10,2023-11-12,7:00p,Away,San Antonio Spurs,118,113,6,4,W 5,W,39,89,12,31,0.387,28,30,0.933,11,41,26,7,3,4,12,2024,Miami Heat
282,11,2023-11-14,7:00p,Away,Charlotte Hornets,111,105,7,4,W 6,W,40,83,8,31,0.258,23,28,0.821,10,42,26,12,5,7,19,2024,Miami Heat
283,12,2023-11-16,7:30p,Home,Brooklyn Nets,122,115,8,4,W 7,W,42,81,15,35,0.429,23,24,0.958,7,32,26,8,3,9,20,2024,Miami Heat
284,13,2023-11-18,8:00p,Away,Chicago Bulls,97,102,8,5,L 1,L,33,77,12,36,0.333,19,23,0.826,5,34,23,9,0,15,18,2024,Miami Heat
285,14,2023-11-20,8:00p,Away,Chicago Bulls,118,100,9,5,W 1,W,42,84,17,35,0.486,17,20,0.85,9,43,31,7,1,8,19,2024,Miami Heat
286,15,2023-11-22,7:30p,Away,Cleveland Cavaliers,129,96,10,5,W 2,W,46,88,20,35,0.571,17,21,0.81,10,41,30,11,7,10,19,2024,Miami Heat
287,16,2023-11-24,7:30p,Away,New York Knicks,98,100,10,6,L 1,L,34,87,10,37,0.27,20,21,0.952,10,41,20,11,0,11,19,2024,Miami Heat
288,17,2023-11-25,6:00p,Away,Brooklyn Nets,97,112,10,7,L 2,L,38,87,11,34,0.324,10,13,0.769,13,44,24,6,3,17,18,2024,Miami Heat
289,18,2023-11-28,7:30p,Home,Milwaukee Bucks,124,131,10,8,L 3,L,48,94,14,30,0.467,14,21,0.667,8,35,32,3,5,6,22,2024,Miami Heat
290,19,2023-11-30,7:30p,Home,Indiana Pacers,142,132,11,8,W 1,W,48,86,8,21,0.381,38,45,0.844,10,48,25,4,1,14,28,2024,Miami Heat
291,20,2023-12-02,8:00p,Home,Indiana Pacers,129,144,11,9,L 1,L,48,89,12,25,0.48,21,24,0.875,6,28,27,3,1,10,22,2024,Miami Heat
292,21,2023-12-06,7:30p,Away,Toronto Raptors,112,103,12,9,W 1,W,41,89,14,38,0.368,16,19,0.842,8,44,33,5,4,7,18,2024,Miami Heat
293,22,2023-12-08,8:00p,Home,Cleveland Cavaliers,99,111,12,10,L 1,L,37,86,15,42,0.357,10,15,0.667,7,37,23,5,5,18,23,2024,Miami Heat
294,23,2023-12-11,7:00p,Away,Charlotte Hornets,116,114,13,10,W 1,W,37,77,15,35,0.429,27,34,0.794,8,43,31,7,3,10,22,2024,Miami Heat
295,24,2023-12-13,7:30p,Home,Charlotte Hornets,115,104,14,10,W 2,W,41,86,15,30,0.5,18,19,0.947,17,47,29,10,3,22,12,2024,Miami Heat
296,25,2023-12-14,7:30p,Home,Chicago Bulls,116,124,14,11,L 1,L,37,80,15,34,0.441,27,35,0.771,8,42,26,2,1,10,20,2024,Miami Heat
297,26,2023-12-16,8:00p,Home,Chicago Bulls,118,116,15,11,W 1,W,43,83,13,35,0.371,19,25,0.76,8,31,26,7,2,10,19,2024,Miami Heat
298,27,2023-12-18,7:30p,Home,Minnesota Timberwolves,108,112,15,12,L 1,L,41,87,11,30,0.367,15,18,0.833,9,40,27,10,4,15,18,2024,Miami Heat
299,28,2023-12-20,7:00p,Away,Orlando Magic,115,106,16,12,W 1,W,40,83,15,29,0.517,20,24,0.833,10,39,25,6,2,11,17,2024,Miami Heat
300,29,2023-12-22,8:00p,Home,Atlanta Hawks,122,113,17,12,W 2,W,40,86,17,39,0.436,25,30,0.833,12,48,21,7,2,17,18,2024,Miami Heat
301,30,2023-12-25,8:00p,Home,Philadelphia 76ers,119,113,18,12,W 3,W,40,84,12,32,0.375,27,35,0.771,13,56,27,5,7,14,17,2024,Miami Heat
302,31,2023-12-28,10:00p,Away,Golden State Warriors,114,102,19,12,W 4,W,44,91,10,31,0.323,16,22,0.727,10,44,26,6,1,7,19,2024,Miami Heat
303,32,2023-12-30,5:00p,Away,Utah Jazz,109,117,19,13,L 1,L,34,78,9,31,0.29,32,40,0.8,8,46,20,8,8,16,24,2024,Miami Heat
304,33,2024-01-01,10:30p,Away,Los Angeles Clippers,104,121,19,14,L 2,L,35,83,11,34,0.324,23,29,0.793,12,35,24,7,3,13,17,2024,Miami Heat
305,34,2024-01-03,10:00p,Away,Los Angeles Lakers,110,96,20,14,W 1,W,41,93,16,42,0.381,12,17,0.706,7,39,30,14,3,8,23,2024,Miami Heat
306,35,2024-01-05,9:00p,Away,Phoenix Suns,97,113,20,15,L 1,L,34,83,10,37,0.27,19,22,0.864,11,44,26,5,2,15,21,2024,Miami Heat
307,36,2024-01-08,7:30p,Home,Houston Rockets,120,113,21,15,W 1,W,41,82,15,36,0.417,23,32,0.719,10,45,30,6,5,11,21,2024,Miami Heat
